tahun,nama_kabkota,potensi_pasar,jumlah
2012,Jakarta Selatan,A-Maju,6
2012,Jakarta Selatan,B-Tumbuh,4
2012,Jakarta Selatan,C-Berkembang,17
2012,Jakarta Timur,A-Maju,6
2012,Jakarta Timur,B-Tumbuh,9
2012,Jakarta Timur,C-Berkembang,18
2012,Jakarta Pusat,A-Maju,4
2012,Jakarta Pusat,B-Tumbuh,5
2012,Jakarta Pusat,C-Berkembang,30
2012,Jakarta Barat,A-Maju,3
2012,Jakarta Barat,B-Tumbuh,5
2012,Jakarta Barat,C-Berkembang,18
2012,Jakarta Utara,A-Maju,
2012,Jakarta Utara,B-Tumbuh,5
2012,Jakarta Utara,C-Berkembang,20
