tahun,jenis_pelanggan,rentang_daya,appu,apps,appt
2012,Sosial,S 1 220 VA,-,-,-
2012,Sosial,S 2 450 - 200 KVA,16262,15090,13211
2012,Sosial,S 3 > 200 Kva,148,131,34
2012,Rumah Tangga,R 1 450 - 2200 VA,1030524,1308302,1056047
2012,Rumah Tangga,R 2 > 2.2 Kva - 6600 VA,115963,102304,47129
2012,Rumah Tangga,R 3 6600 VA,37422,38796,6478
2012,Usaha,B1 450 - 2200 VA,75049,69320,58431
2012,Usaha,B2 > 2.2 Kva - 200 Kva,45064,22150,18283
2012,Usaha,B3 > 200 Kva,1240,683,282
2012,Industri,I1 450 - 14 Kva,1413,163,321
2012,Industri,I2 >14 Kva - 200 Kva,2279,390,4217
2012,Industri,I3 > 200 Kva,646,96,1597
2012,Industri,I4 > 30000 Kva,5,-,2
2012,Perkantoran,P1 450 - 200 Kva,2109,1710,904
2012,Perkantoran,P2 > 200 Kva,314,192,60
2012,Perkantoran,P3,4528,3314,1608
2012,Lainnya,T TM 200 Kva,9,7,6
2012,Lainnya,C TM 200 KVA,-,-,-
2012,Lainnya,L,4314,4499,2948
